toi,tid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_eqt,pl_insol,st_teff,st_logg,st_rad,ra,dec,tfopwg_disp,fe_h,gaia_source_id
4851.01,TIC 60377863,21.6091483,6.112,320.0,2.134,888.0,103.508,5967.0,4.36,1.15,112.229289,-44.139772,PC,-0.03999999910593033,Gaia DR3 5511233692708287232
4852.01,TIC 74712191,7.2307407,4.646,7940.0,13.364,1570.0,1009.89,7747.0,4.39,1.43,137.795138,-42.518066,PC,0.15200114388741293,Gaia DR3 5427366725316356352
4853.01,TIC 74530173,7.2333744,1.118,10550.0,9.46193,544.0,14.6012,5508.0,4.53,0.89,137.631803,-43.743559,PC,0.12092445448862905,Gaia DR3 5426967125862680832
4856.01,TIC 428685938,14.4896397,1.898,40070.0,7.558,292.0,1.21746,3376.0,4.87,0.35,180.231429,-23.634554,FP,-1.2355705240764019,Gaia DR3 3492659369225333248
4858.01,TIC 262499797,1.7509117,1.4130673,70067.1013669,16.6835695,666.1259003,46.5314175,3333.0,4.79,0.443812,109.880143,-55.728421,FP,-0.6124512228798296,Gaia DR3 5487451226137090304
4859.01,TIC 152467154,7.1878971,3.321,11430.0,18.372,1147.0,287.355,5144.9,4.4,0.97,171.798638,-36.070515,PC,0.4146500527858734,Gaia DR3 5398104155350313984
486.01,TIC 260708537,1.7447031,1.066,160.0,0.591815,896.0,107.262,3445.0,4.85243,0.43,98.454881,-58.525032,CP,-0.1420000046491623,Gaia DR3 5482827676662168832
4860.01,TIC 335590096,1.5229985,1.196,58060.0,8.99483,687.0,37.1159,3237.0,4.87,0.35,183.563961,-13.174841,CP,0.27000001072883606,Gaia DR3 3571038605366263424
4861.01,TIC 71341774,3.4321678,5.115,1950.0,9.36413,1948.0,2393.6,6176.0,3.82,2.22,154.751315,-35.683893,PC,-0.10098011806247251,Gaia DR3 5445790043366089600
4863.01,TIC 143032776,12.4856615,2.538,67270.0,12.2535,375.0,3.28873,3473.0,4.78,0.45,167.255241,-10.188311,PC,-1.3929541841077315,Gaia DR3 3758899856418383872
