,koi_period,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_steff,koi_slogg,koi_srad,koi_smet,ExoplanetCandidate
2980,11.62904159,2.97,88.0,1.31,854.0,125.89,5721.0,4.307,1.131,0.0,1
2981,13.6550963,4.117,196.3,1.35,780.0,87.46,6065.0,4.487,0.962,-0.14,0
2982,27.50871575,5.9291,639.2,2.98,663.0,45.66,5903.0,4.304,1.137,-0.16,1
2983,20.0708757,6.354,405.7,3.2,826.0,110.19,5902.0,4.128,1.513,0.16,1
2984,98.353149,24.708,423.0,4.13,552.0,21.96,6366.0,4.045,1.697,-0.2,1
2985,10.18318233,3.137,51.5,0.79,867.0,133.56,5843.0,4.421,1.084,0.4,1
2986,6.2321233,2.85,31.7,0.61,1021.0,256.72,5843.0,4.421,1.084,0.4,1
2987,8.2942929,3.976,36.8,0.65,928.0,175.39,5843.0,4.421,1.084,0.4,1
2988,1.540411479,1.703,107.1,0.92,1446.0,1029.25,5769.0,4.57,0.812,-0.32,0
2989,3.74785358,3.713,98.2,0.89,1093.0,337.14,5706.0,4.537,0.886,0.02,0
2990,25.75274977,2.7678,738.9,2.27,501.0,14.88,4963.0,4.501,0.826,0.16,1
2991,10.161023528,3.1627,1653.9,4.62,904.0,157.97,6032.0,4.387,1.06,-0.14,1
2992,12.82993461,2.942,1417.4,3.31,734.0,68.41,5862.0,4.555,0.844,-0.28,1
2993,49.41121127,5.278,3184.0,6.77,497.0,14.48,5768.0,4.434,1.015,0.14,1
2994,36.8567758,7.495,714.1,2.68,549.0,21.4,5768.0,4.434,1.015,0.14,1
2995,35.080928,6.92,100.7,1.21,610.0,32.63,6007.0,4.353,1.126,0.0,0
2996,10.39986173,3.377,275.3,1.5,678.0,49.86,4963.0,4.501,0.826,0.16,1
2997,0.828206212,1.737,132.3,3.88,3274.0,27125.5,5812.0,3.598,3.227,-0.1,0
2998,24.31574009,4.1344,643.3,2.8,683.0,51.53,6242.0,4.442,1.047,-0.1,1
2999,199.443024,7.409,4036.0,9.3,332.0,2.86,5646.0,4.278,1.153,0.0,0
3000,39.6766071,5.04,611.2,2.29,473.0,11.85,5244.0,4.449,0.888,0.02,1
3001,358.66044,16.732,133.8,1.62,304.0,2.02,5619.0,4.07,1.406,-0.32,0
3002,4.454194254,2.3061,16042.0,11.76,1017.0,252.22,5359.0,4.425,0.915,-0.06,1
3003,809.0141881,8.3017,16311.0,14.38,216.0,0.51,6230.0,4.397,1.047,-0.3,1
3004,21.0871953,5.92691,8894.7,14.43,873.0,137.06,6266.0,4.101,1.522,-0.28,1
3005,1.575631524,2.59202,25627.0,28.66,1577.0,1464.43,6202.0,4.537,0.858,-0.62,0
3006,6.09855603,2.9815,84.4,0.84,927.0,174.3,5465.0,4.449,0.925,0.02,1
