toi,tid,tfopwg_disp,ra,dec,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_teff,st_logg,st_rad,Gaia_DR3_ID,Fe_H
5240.01,TIC 40055053,CP,293.083789,34.940397,4.1793301,5.161,4900.0,16.1603,2876.9,2040.0,7349.0,3.93,2.31,Gaia DR3 2896290202258381056,
5241.01,TIC 305948428,PC,295.483771,23.127392,4.8398399,2.818,7040.0,12.0967,199.608,1047.0,5506.0,4.14,1.39,Gaia DR3 2436461352756899200,
5242.01,TIC 426122503,PC,287.658473,35.4957,2.4038486,1.87,16500.0,11.4754,242.515,1099.0,5074.0,4.51,0.85,Gaia DR3 4805806449875760384,0.0
5243.01,TIC 322504451,PC,309.333017,48.04051,1.6087939,1.966,8160.0,16.2542,1301.71,1673.0,5995.0,3.96,1.81,Gaia DR3 4805806449875760384,0.3100000023841858
5244.01,TIC 352151292,PC,305.263323,52.910316,5.0821798,4.249,4930.0,10.6708,592.328,1374.0,5929.0,4.1,1.53,Gaia DR3 4805806449875760384,0.0
5245.01,TIC 123041007,APC,279.057886,42.519276,0.4305826,0.435,15510.0,12.4063,156.925,986.0,3861.0,4.58,0.69,Gaia DR3 4805806449875760384,0.3100000023841858
5246.01,TIC 295807723,FP,304.045452,48.876297,0.6972223,1.095,6460.0,14.5958,3144.23,2086.0,6556.0,4.09,1.74,Gaia DR3 2956998401052982016,
5247.01,TIC 289307883,PC,314.8042,23.733206,12.9177538,1.8,11460.0,15.194,21.7315,601.0,5606.0,4.21,1.3,Gaia DR3 2956998401052982016,
5248.01,TIC 256154857,APC,300.045751,21.740611,0.701239,1.05,13700.0,10.9462,1087.15,1599.0,5126.0,4.51,0.85,Gaia DR3 2956998401052982016,
5249.01,TIC 185598695,PC,302.183898,42.496338,4.6285493,2.844,15300.0,12.8401,300.005,1159.0,6007.0,4.44,1.06,Gaia DR3 2956998401052982016,
525.01,TIC 71512186,PC,90.169954,-8.468341,14.8608019,6.1932625,556.6027212,4.4404093,239.0475595,1002.8611977,7064.0,4.22374,1.62231,Gaia DR3 579084083968560256,-0.44600000977516174
5250.01,TIC 278105308,PC,302.751801,23.34472,5.4463931,2.222,8350.0,20.2415,236.789,1092.0,6815.0,3.92,2.19,Gaia DR3 579084083968560256,-0.2800000011920929
5251.01,TIC 436007113,PC,305.803809,29.872672,2.3205922,2.393,8900.0,14.7239,1400.15,1704.0,6756.0,4.24,1.51,,
5252.01,TIC 395385033,PC,302.499233,23.40978,8.5394045,5.884,6460.0,13.4388,566.287,1359.0,6369.0,4.08,1.7,Gaia DR3 5762607889340459008,-0.27300000190734863
5253.01,TIC 284660935,APC,179.211893,58.405356,1.1110609,1.155,4060.0,12.9236,2976.45,2057.0,5500.1,4.4,1.02,Gaia DR3 5762607889340459008,0.017000000923871994
5254.01,TIC 126225595,PC,315.261844,26.591654,4.4836616,3.542,3420.0,13.9078,445.248,1279.0,5646.0,3.69,2.35,Gaia DR3 5762607889340459008,-0.08900000154972076
5255.01,TIC 158325942,PC,287.007826,45.396659,2.612273,3.005,7680.0,12.9095,989.904,1562.0,5874.0,4.14,1.45,Gaia DR3 5762607889340459008,
5256.01,TIC 356146869,PC,266.336079,52.475176,21.1968768,4.228,6630.0,6.85964,15.5174,552.0,4934.0,4.5,0.84,Gaia DR3 5762607889340459008,
5257.01,TIC 185226925,FP,301.240411,46.707217,3.1979646,5.69,2060.0,12.9757,3205.65,2096.0,5990.0,3.54,2.93,Gaia DR3 5762607889340459008,
5258.01,TIC 147895461,FP,163.757949,67.043652,0.5919629,1.0,2450.0,9.90447,3301.1,2111.0,6337.0,4.0,1.85,Gaia DR3 5762607889340459008,
5259.01,TIC 375419034,PC,294.065225,21.794676,3.0321361,2.078,13790.0,12.5315,403.028,1248.0,6071.0,4.44,1.06,Gaia DR3 5762607889340459008,
526.01,TIC 200593988,FP,85.335762,11.194448,7.699087,4.380607,8072.469566,6.21451,8.7213046,438.2935835,3617.0,4.81052,0.45,,
